"Place","Type","County","State",2015,2010,2000
"Snow Shoe","township","Centre County","Pennsylvania",1733,1746,1760
"Spring","township","Centre County","Pennsylvania",7659,7470,6117
"Taylor","township","Centre County","Pennsylvania",854,853,741
"Union","township","Centre County","Pennsylvania",1421,1383,1200
"Walker","township","Centre County","Pennsylvania",4603,4433,3299
"Worth","township","Centre County","Pennsylvania",825,824,835
"Birmingham","township","Chester County","Pennsylvania",4262,4208,4221
"Caln","township","Chester County","Pennsylvania",14115,13817,11916
"Charlestown","township","Chester County","Pennsylvania",5690,5671,4051
"East Bradford","township","Chester County","Pennsylvania",10038,9942,9405
"East Brandywine","township","Chester County","Pennsylvania",8295,6742,5822
"East Caln","township","Chester County","Pennsylvania",4873,4838,2857
"East Coventry","township","Chester County","Pennsylvania",6753,6636,4566
"East Fallowfield","township","Chester County","Pennsylvania",7570,7449,5157
"East Goshen","township","Chester County","Pennsylvania",18339,18026,16824
"East Marlborough","township","Chester County","Pennsylvania",7283,7026,6317
"East Nantmeal","township","Chester County","Pennsylvania",1842,1803,1787
"East Nottingham","township","Chester County","Pennsylvania",8930,8650,5516
"East Pikeland","township","Chester County","Pennsylvania",7359,7079,6551
"East Vincent","township","Chester County","Pennsylvania",6920,6821,10270
"East Whiteland","township","Chester County","Pennsylvania",10702,10650,5493
"Easttown","township","Chester County","Pennsylvania",10620,10477,9333
"Elk","township","Chester County","Pennsylvania",1695,1681,1485
"Franklin","township","Chester County","Pennsylvania",4518,4352,3850
"Highland","township","Chester County","Pennsylvania",1289,1272,1125
"Honey Brook","township","Chester County","Pennsylvania",8124,7647,6278
"Kennett","township","Chester County","Pennsylvania",8172,7565,6451
"London Britain","township","Chester County","Pennsylvania",3268,3139,2797
"London Grove","township","Chester County","Pennsylvania",8592,7475,1632
"Londonderry","township","Chester County","Pennsylvania",2400,2149,5265
"Lower Oxford","township","Chester County","Pennsylvania",5001,5200,4319
"New Garden","township","Chester County","Pennsylvania",12096,11984,9083
"New London","township","Chester County","Pennsylvania",5944,5631,1150
"Newlin","township","Chester County","Pennsylvania",1356,1285,4583
"North Coventry","township","Chester County","Pennsylvania",8024,7866,7381
"Penn","township","Chester County","Pennsylvania",5475,5364,2812
"Pennsbury","township","Chester County","Pennsylvania",3659,3604,3500
"Pocopson","township","Chester County","Pennsylvania",4856,4582,3350
"Sadsbury","township","Chester County","Pennsylvania",3850,3570,2582
"Schuylkill","township","Chester County","Pennsylvania",8576,8516,6960
"South Coventry","township","Chester County","Pennsylvania",2616,2604,1895
"Thornbury","township","Chester County","Pennsylvania",3343,3017,2678
"Tredyffrin","township","Chester County","Pennsylvania",29559,29332,29062
"Upper Oxford","township","Chester County","Pennsylvania",2504,2484,2095
"Upper Uwchlan","township","Chester County","Pennsylvania",11545,11227,6850
"Uwchlan","township","Chester County","Pennsylvania",19072,18088,16576
"Valley","township","Chester County","Pennsylvania",7632,6794,5116
"Wallace","township","Chester County","Pennsylvania",3698,3458,3240
"Warwick","township","Chester County","Pennsylvania",2550,2507,2556
"West Bradford","township","Chester County","Pennsylvania",12779,12223,10775
"West Brandywine","township","Chester County","Pennsylvania",7468,7394,7153
"West Caln","township","Chester County","Pennsylvania",9085,9014,7054
"West Fallowfield","township","Chester County","Pennsylvania",2596,2566,2485
"West Goshen","township","Chester County","Pennsylvania",23137,21866,20495
"West Marlborough","township","Chester County","Pennsylvania",821,814,859
"West Nantmeal","township","Chester County","Pennsylvania",2190,2170,2031
"West Nottingham","township","Chester County","Pennsylvania",2706,2722,2634
"West Pikeland","township","Chester County","Pennsylvania",4085,4024,3551
"West Sadsbury","township","Chester County","Pennsylvania",2475,2444,2444
"West Vincent","township","Chester County","Pennsylvania",5038,4567,10352
"West Whiteland","township","Chester County","Pennsylvania",18450,18274,3170
"Westtown","township","Chester County","Pennsylvania",10913,10827,16499
"Willistown","township","Chester County","Pennsylvania",10905,10497,10011
"Ashland","township","Clarion County","Pennsylvania",1085,1114,1081
"Beaver","township","Clarion County","Pennsylvania",1713,1761,1753
"Brady","township","Clarion County","Pennsylvania",58,55,62
"Clarion","township","Clarion County","Pennsylvania",3932,4116,3273
"Elk","township","Clarion County","Pennsylvania",1433,1490,1519
"Farmington","township","Clarion County","Pennsylvania",1862,1934,1986
"Highland","township","Clarion County","Pennsylvania",511,525,633
"Knox","township","Clarion County","Pennsylvania",1011,1036,1045
"Licking","township","Clarion County","Pennsylvania",540,536,479
"Limestone","township","Clarion County","Pennsylvania",1789,1858,1773
"Madison","township","Clarion County","Pennsylvania",1165,1207,1442
"Millcreek","township","Clarion County","Pennsylvania",378,396,415
"Monroe","township","Clarion County","Pennsylvania",1489,1544,1587
"Paint","township","Clarion County","Pennsylvania",1634,1699,1778
"Perry","township","Clarion County","Pennsylvania",913,947,1064
"Piney","township","Clarion County","Pennsylvania",432,453,516
"Porter","township","Clarion County","Pennsylvania",1287,1348,1466
"Redbank","township","Clarion County","Pennsylvania",1319,1370,1502
"Richland","township","Clarion County","Pennsylvania",472,494,553
"Salem","township","Clarion County","Pennsylvania",850,881,852
"Toby","township","Clarion County","Pennsylvania",953,991,1166
"Washington","township","Clarion County","Pennsylvania",1817,1887,2037
"Beccaria","township","Clearfield County","Pennsylvania",1746,1782,1835
"Bell","township","Clearfield County","Pennsylvania",747,760,825
"Bigler","township","Clearfield County","Pennsylvania",1256,1289,1368
"Bloom","township","Clearfield County","Pennsylvania",408,414,412
"Boggs","township","Clearfield County","Pennsylvania",1756,1751,1837
