"Elk City","Beckham County","Oklahoma",12680,11693,10510,10428,9579,7323,8196,7962,5021,5666,2814,3165,0,0
"Elmer","Jackson County","Oklahoma",94,96,96,132,131,138,120,145,249,288,0,0,0,0
"Elmore City","Garvin County","Oklahoma",702,697,756,493,582,653,982,743,494,395,337,266,192,0
"El Reno","Canadian County","Oklahoma",18153,16749,16212,15414,15486,14510,11015,10991,10078,9384,7737,7872,3383,285
"Empire City","Stephens County","Oklahoma",922,955,734,219,13,23,0,0,0,0,0,0,0,0
"Enid","Garfield County","Oklahoma",51386,49379,47045,45309,50363,44986,38859,36017,28081,26399,16576,13799,3444,0
"Erick","Beckham County","Oklahoma",1091,1052,1023,1083,1375,1285,1342,1579,1591,2231,971,915,0,0
"Etowah","Cleveland County","Oklahoma",92,92,122,33,0,0,0,0,0,0,0,0,0,0
"Eufaula","McIntosh County","Oklahoma",2909,2813,2639,2652,3159,2355,2382,2540,2355,2073,2286,1307,757,0
"Fairfax","Osage County","Oklahoma",1361,1380,1555,1749,1949,1889,2076,2017,2327,2134,1342,819,0,0
"Fairland","Ottawa County","Oklahoma",1066,1057,1025,916,1073,814,646,699,786,679,818,569,499,0
"Fairmont","Garfield County","Oklahoma",140,134,147,129,419,154,115,134,153,169,166,0,0,0
"Fair Oaks","Wagoner County","Oklahoma",91,103,122,1133,228,23,0,0,0,0,0,0,0,0
"Fairview","Major County","Oklahoma",2646,2579,2733,2936,3370,2894,2213,2411,1913,1887,1751,2020,0,0
"Fallis","Lincoln County","Oklahoma",27,27,28,49,22,39,42,105,137,173,239,248,0,0
"Fanshawe","Le Flore County","Oklahoma",409,419,384,331,416,199,0,0,0,0,0,0,0,0
"Fargo","Ellis County","Oklahoma",367,364,326,299,409,262,291,318,291,325,258,341,0,0
"Faxon","Comanche County","Oklahoma",135,136,134,127,140,121,137,135,178,212,163,215,0,0
"Fitzhugh","Pontotoc County","Oklahoma",232,230,204,196,0,0,0,0,0,0,0,0,0,0
"Fletcher","Comanche County","Oklahoma",1174,1177,1022,1002,1074,950,884,875,789,739,482,374,0,0
"Foraker","Osage County","Oklahoma",19,19,23,25,34,52,74,105,222,310,394,415,0,0
"Forest Park","Oklahoma County","Oklahoma",1059,998,1066,1249,1148,835,766,0,0,0,0,0,0,0
"Forgan","Beaver County","Oklahoma",534,547,532,489,611,496,532,410,428,605,582,0,0,0
"Fort Cobb","Caddo County","Oklahoma",629,634,667,663,760,722,687,665,699,827,546,382,0,0
"Fort Coffee","Le Flore County","Oklahoma",416,424,412,0,0,0,0,0,0,0,0,0,0,0
"Fort Gibson","Muskogee County","Oklahoma",4104,4154,4054,3359,2477,1418,1407,1496,1233,1159,1353,1344,617,0
"Fort Supply","Woodward County","Oklahoma",352,330,328,369,559,550,394,293,414,230,231,169,0,0
"Fort Towson","Choctaw County","Oklahoma",505,519,611,568,789,430,474,713,501,486,965,697,0,0
"Foss","Washita County","Oklahoma",150,151,127,148,188,150,289,210,306,524,348,525,0,0
"Foster","Garvin County","Oklahoma",161,161,0,0,0,0,0,0,0,0,0,0,0,0
"Foyil","Rogers County","Oklahoma",344,344,234,86,191,164,127,146,170,184,109,0,0,0
"Francis","Pontotoc County","Oklahoma",318,315,332,346,365,283,286,271,370,607,911,931,0,0
"Frederick","Tillman County","Oklahoma",3748,3940,4637,5221,6153,6132,5879,5467,5109,4568,3822,3027,0,0
"Freedom","Woods County","Oklahoma",306,289,271,264,339,292,268,332,364,354,0,0,0,0
"Friendship","Jackson County","Oklahoma",23,24,0,0,0,0,0,0,0,0,0,0,0,0
"Gage","Ellis County","Oklahoma",436,442,429,473,667,536,482,648,684,856,804,924,0,0
"Gans","Sequoyah County","Oklahoma",305,312,208,218,346,238,234,0,0,204,295,351,136,0
"Garber","Garfield County","Oklahoma",849,822,845,959,1215,1011,905,957,1086,1356,1446,382,0,0
"Garvin","McCurtain County","Oklahoma",251,256,143,128,162,117,109,155,170,263,293,957,0,0
"Gate","Beaver County","Oklahoma",91,93,112,159,146,151,130,197,243,307,309,0,0,0
"Geary","Blaine/Canadian County","Oklahoma",1309,1280,1258,1347,1700,1380,1416,1614,1634,1892,1167,1452,0,0
"Gene Autry","Carter County","Oklahoma",159,158,99,97,178,120,110,170,227,300,435,378,276,0
"Geronimo","Comanche County","Oklahoma",1242,1268,959,990,726,587,199,103,117,134,161,186,0,0
"Gerty","Hughes County","Oklahoma",115,118,101,95,149,139,135,155,206,137,251,305,0,0
"Glencoe","Payne County","Oklahoma",605,601,583,473,490,421,284,309,337,297,354,373,0,0
"Glenpool","Tulsa County","Oklahoma",11855,10808,8123,6688,2706,770,353,280,284,310,428,0,0,0
"Goldsby","McClain County","Oklahoma",2007,1801,1204,816,603,298,0,0,0,0,0,0,0,0
"Goltry","Alfalfa County","Oklahoma",259,249,268,297,305,282,313,277,330,346,287,320,0,0
"Goodwell","Texas County","Oklahoma",1341,1293,1192,1065,1186,1467,771,714,360,501,0,0,0,0
"Gore","Sequoyah County","Oklahoma",951,977,850,690,445,478,334,387,334,297,329,316,0,0
"Gotebo","Kiowa County","Oklahoma",225,226,272,370,457,376,538,574,607,827,737,740,0,0
"Gould","Harmon County","Oklahoma",135,141,206,237,318,368,241,303,391,367,228,0,0,0
"Gracemont","Caddo County","Oklahoma",314,318,336,339,503,424,306,301,328,394,266,0,0,0
"Grainola","Osage County","Oklahoma",31,31,31,58,67,66,67,79,157,197,0,0,0,0
"Grandfield","Tillman County","Oklahoma",988,1038,1110,1224,1445,1524,1606,1232,1116,1416,1990,830,0,0
"Grand Lake Towne","Mayes County","Oklahoma",73,74,65,58,36,23,0,0,0,0,0,0,0,0
"Granite","Greer County","Oklahoma",2048,2065,1844,1844,1617,1808,952,1096,1058,1341,912,1229,0,0
"Grayson","Okmulgee County","Oklahoma",155,159,134,66,150,142,0,0,0,0,0,0,0,0
"Greenfield","Blaine County","Oklahoma",94,93,123,200,233,143,128,191,303,0,0,0,0,0
"Grove","Delaware County","Oklahoma",6717,6623,5131,4020,3378,2000,975,928,1093,804,869,888,314,0
"Guthrie","Logan County","Oklahoma",11096,10191,9925,10518,10312,9575,9502,10113,10018,9582,11757,11654,10006,5333
"Guymon","Texas County","Oklahoma",12128,11442,10472,7803,8492,7674,5768,4718,2290,2181,1507,1342,0,0
"Haileyville","Pittsburg County","Oklahoma",781,813,891,918,832,928,922,1107,1183,18012,67,2024,0,0
"Hallett","Pawnee County","Oklahoma",124,125,168,159,186,125,132,120,159,176,279,147,0,0
"Hammon","Roger Mills County","Oklahoma",588,568,469,611,866,677,656,621,705,736,440,0,0,0
"Hanna","McIntosh County","Oklahoma",136,138,133,99,157,181,233,325,344,360,460,0,0,0
"Hardesty","Texas County","Oklahoma",226,212,277,228,243,223,187,201,0,0,0,0,0,0
"Harrah","Oklahoma County","Oklahoma",5724,5095,4719,4206,2897,1931,934,741,620,693,365,356,0,0
"Hartshorne","Pittsburg County","Oklahoma",2027,2125,2102,2120,2380,2121,1903,2330,2596,3587,3480,2963,2352,0
"Haskell","Muskogee County","Oklahoma",1993,2007,1765,2143,1953,2063,1887,1676,1572,1682,2196,857,0,0
"Hastings","Jefferson County","Oklahoma",139,143,155,164,246,184,200,285,352,379,629,727,0,0
"Haworth","McCurtain County","Oklahoma",295,297,354,293,341,293,351,254,232,276,400,0,0,0
"Headrick","Jackson County","Oklahoma",92,94,130,183,223,139,152,144,174,243,280,270,0,0
"Healdton","Carter County","Oklahoma",2792,2788,2786,2872,3769,2324,2898,2578,2067,2017,2157,0,0,0
"Heavener","Le Flore County","Oklahoma",3368,3414,3201,2601,2776,2566,1891,2103,2215,2269,1850,780,234,0
"Helena","Alfalfa County","Oklahoma",1419,1403,443,1043,710,769,580,484,776,735,615,760,0,0
"Hendrix","Bryan County","Oklahoma",82,79,79,108,106,117,142,152,145,84,130,0,0,0
"Hennessey","Kingfisher County","Oklahoma",2194,2131,2058,1902,2287,2181,1228,1264,1342,1271,1310,1665,1367,0
"Henryetta","Okmulgee County","Oklahoma",5759,5927,6096,5872,6432,6430,6551,7987,6905,7694,5889,1671,0,0
"Hickory","Murray County","Oklahoma",72,71,87,77,95,62,112,112,224,157,359,350,262,0
"Hillsdale","Garfield County","Oklahoma",126,121,101,96,110,77,60,104,131,173,209,0,0,0
"Hinton","Caddo County","Oklahoma",3220,3196,2175,1233,1432,889,907,1025,842,1009,744,686,0,0
"Hitchcock","Blaine County","Oklahoma",122,121,141,139,172,160,134,166,222,246,281,275,0,0
"Hitchita","McIntosh County","Oklahoma",87,88,113,118,126,160,120,141,206,228,264,0,0,0
"Hobart","Kiowa County","Oklahoma",3700,3756,3997,4305,4735,4638,5132,5380,5177,4982,2936,3845,0,0
"Hoffman","Okmulgee County","Oklahoma",124,127,148,175,407,262,248,302,432,375,365,307,0,0
"Holdenville","Hughes County","Oklahoma",5780,5771,4732,4792,5469,5181,5712,6192,6632,7268,2932,2296,749,0
"Hollis","Harmon County","Oklahoma",1974,2060,2264,2584,2958,3150,3006,3089,2732,2914,1683,964,0,0
"Hollister","Tillman County","Oklahoma",48,50,60,59,82,105,166,172,200,198,0,0,0,0
"Hominy","Osage County","Oklahoma",3532,3565,2584,2342,3130,2274,2866,2702,3267,3485,2875,760,0,0
"Hooker","Texas County","Oklahoma",2030,1918,1788,1551,1788,1615,1684,1842,1146,1628,946,525,0,0
"Hoot Owl","Mayes County","Oklahoma",4,4,0,5,3,0,0,0,0,0,0,0,0,0
