"Ecorse","Wayne County","Michigan",9311,9512,11229,12180,14447,17515,17328,17948,13209,12716,4394,1063,0,0,0,0,0,0,0,0,0
"Edmore","Montcalm County","Michigan",1193,1201,1244,1126,1176,1149,1234,971,825,897,772,752,642,735,704,0,0,0,0,0,0
"Edwardsburg","Cass County","Michigan",1231,1259,1147,1142,1135,1107,902,616,482,388,392,0,0,404,500,297,241,252,0,0,0
"Elberta","Benzie County","Michigan",371,372,457,478,556,542,552,850,617,609,588,681,639,0,0,0,0,0,0,0,0
"Elk Rapids","Antrim County","Michigan",1622,1642,1700,1626,1504,1249,1015,889,690,615,684,1673,0,0,620,0,0,0,0,0,0
"Elkton","Huron County","Michigan",784,808,863,958,953,973,1014,854,539,538,500,553,471,0,0,0,0,0,0,0,0
"Ellsworth","Antrim County","Michigan",344,349,483,418,436,362,386,369,347,0,0,0,0,0,0,0,0,0,0,0,0
"Elsie","Clinton County","Michigan",978,966,1055,957,1022,988,933,911,773,664,680,592,576,396,253,0,0,0,0,0,0
"Emmett","St. Clair County","Michigan",264,269,251,297,285,297,283,230,229,199,175,292,265,0,0,0,0,0,0,0,0
"Empire","Leelanau County","Michigan",378,375,378,355,340,409,448,251,266,302,298,578,609,0,0,0,0,0,0,0,0
"Escanaba","Delta County","Michigan",12413,12616,13140,13659,14355,15368,15391,15170,14830,14524,13103,13194,9549,6808,3026,0,0,0,0,0,0
"Essexville","Bay County","Michigan",3415,3478,3766,4088,4378,4990,4590,3167,2390,1864,1538,1477,1639,1545,0,0,0,0,0,0,0
"Estral Beach","Monroe County","Michigan",408,418,486,430,463,419,254,188,78,0,0,0,0,0,0,0,0,0,0,0,0
"Evart","Osceola County","Michigan",1871,1903,1738,1744,1945,1707,1775,1578,1335,1301,1326,1386,1360,1269,1302,0,0,0,0,0,0
"Fairgrove","Tuscola County","Michigan",545,563,627,592,691,629,609,570,481,437,452,437,0,0,0,0,0,0,0,0,0
"Farmington","Oakland County","Michigan",10554,10372,10423,10132,11022,10329,6881,2325,1510,1243,853,564,530,320,377,0,0,0,0,0,0
"Farmington Hills","Oakland County","Michigan",81435,79740,82111,74652,58056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Farwell","Clare County","Michigan",859,871,855,851,804,777,737,694,538,422,449,522,535,584,521,0,0,0,0,0,0
"Fennville","Allegan County","Michigan",1398,1398,1459,1023,934,811,705,639,643,622,547,533,454,360,0,0,0,0,0,0,0
"Fenton","Genesee County","Michigan",11463,11756,10582,8444,8098,8284,6142,4226,3377,3171,2507,2331,2408,2182,2152,2353,735,0,0,0,0
"Ferndale","Oakland County","Michigan",20256,19900,22105,25084,26227,30850,31347,29675,22523,20855,2640,0,0,0,0,0,0,0,0,0,0
"Ferrysburg","Ottawa County","Michigan",2984,2892,3040,2919,2440,2196,2590,1454,0,0,0,0,0,692,411,0,0,0,0,0,0
"Fife Lake","Grand Traverse County","Michigan",455,443,466,394,402,274,218,347,303,227,215,340,456,394,0,0,0,0,0,0,0
"Flat Rock","Wayne County","Michigan",9854,9878,8488,7290,6853,5643,4696,1931,1467,1231,0,0,0,0,373,0,0,0,0,0,0
"Flint","Genesee County","Michigan",99002,102434,124943,140761,159611,193317,196940,163413,151543,156492,91599,38550,13103,9803,8409,5386,2950,1670,0,0,0
"Flushing","Genesee County","Michigan",8135,8389,8348,8542,8624,7190,3761,2226,1806,1723,1169,938,900,965,690,687,406,0,0,0,0
"Forestville","Sanilac County","Michigan",132,136,127,153,159,110,121,124,156,74,140,234,282,0,192,121,0,0,0,0,0
"Fountain","Mason County","Michigan",194,193,175,165,195,156,194,247,235,223,222,0,0,0,0,0,0,0,0,0,0
"Fowler","Clinton County","Michigan",1232,1208,1136,912,1021,1020,854,675,579,561,472,476,426,346,321,0,0,0,0,0,0
"Fowlerville","Livingston County","Michigan",2960,2886,2972,2648,2289,1978,1674,1466,1118,1141,1057,905,946,0,1051,0,0,0,0,0,0
"Frankenmuth","Saginaw County","Michigan",4951,4944,4838,4408,3753,2834,1728,1208,1100,925,733,693,0,0,0,0,0,0,0,0,0
"Frankfort","Benzie County","Michigan",1287,1286,1513,1546,1603,1660,1690,1605,1642,1468,1244,1555,1465,1175,782,0,0,0,0,0,0
"Franklin","Oakland County","Michigan",3231,3150,2937,2626,2864,3311,2262,0,0,0,0,0,0,0,151,0,0,0,0,0,0
"Fraser","Macomb County","Michigan",14622,14480,15297,13899,14560,11868,7027,1379,747,600,247,220,252,0,0,0,0,0,0,0,0
