"Ashland","town","Grafton County","New Hampshire",2058,2076,1955,1915,1807,1599,1473,1599,1460,1375,1325,1412,1289,1193,960,885,0,0,0,0,0,0,0,0
"Bath","town","Grafton County","New Hampshire",1083,1077,893,784,761,607,604,706,686,785,838,978,1006,935,1032,1168,1366,1574,1591,1627,1498,1316,825,498
"Benton","town","Grafton County","New Hampshire",371,364,314,330,333,194,172,247,262,255,177,219,209,244,378,375,459,478,413,0,0,0,0,0
"Bethlehem","town","Grafton County","New Hampshire",2553,2526,2199,2033,1784,1142,898,882,935,872,866,1201,1261,1267,1400,998,896,950,779,665,467,422,171,0
"Bridgewater","town","Grafton County","New Hampshire",1085,1083,974,796,606,398,293,222,226,151,199,187,244,332,384,453,560,667,747,783,727,1104,664,281
"Bristol","town","Grafton County","New Hampshire",3073,3054,3033,2537,2198,1670,1470,1586,1632,1610,1428,1478,1600,1524,1352,1416,1124,1103,1153,799,675,0,0,0
"Campton","town","Grafton County","New Hampshire",3305,3333,2719,2377,1694,1171,1058,1149,1130,1184,1028,845,999,982,1163,1226,1320,1439,1513,1313,1047,873,635,395
"Canaan","town","Grafton County","New Hampshire",3891,3909,3319,3045,2456,1923,1507,1465,1377,1301,1236,1408,1444,1417,1762,1877,1762,1682,1576,1428,1198,1094,835,483
"Dorchester","town","Grafton County","New Hampshire",353,355,353,392,244,141,91,133,144,115,228,241,308,370,585,689,691,711,769,702,584,537,349,175
"Easton","town","Grafton County","New Hampshire",265,254,256,223,124,92,74,94,156,132,131,226,249,248,302,0,0,0,0,0,0,0,0,0
"Ellsworth","town","Grafton County","New Hampshire",83,83,87,74,53,13,3,24,26,28,30,46,107,150,209,193,302,320,300,234,213,142,47,0
"Enfield","town","Grafton County","New Hampshire",4550,4582,4618,3979,3175,2345,1867,1612,1693,1325,1577,1448,1845,1439,1680,1662,1876,1742,1514,1492,1370,1291,1121,724
"Franconia","town","Grafton County","New Hampshire",1117,1104,924,811,743,655,491,549,568,514,440,504,655,594,550,549,708,584,523,443,373,358,129,72
"Grafton","town","Grafton County","New Hampshire",1339,1340,1138,923,739,370,348,442,552,539,554,641,748,787,934,907,1150,1259,1201,1207,1094,931,682,403
"Groton","town","Grafton County","New Hampshire",595,593,456,318,255,120,99,105,182,202,199,319,346,464,566,583,778,776,870,669,686,549,391,373
"Hanover","town","Grafton County","New Hampshire",11401,11260,10850,9212,9119,8494,7329,6259,3425,3043,2264,2075,1884,1817,2147,2085,2308,2350,2613,2361,2222,2135,1912,1380
"Haverhill","town","Grafton County","New Hampshire",4650,4697,4416,4164,3445,3090,3127,3357,3487,3665,3406,3498,3414,2545,2455,2271,2291,2405,2675,2183,1609,1105,805,552
"Hebron","town","Grafton County","New Hampshire",614,602,459,386,349,234,153,130,151,197,184,213,214,245,329,382,475,565,508,538,572,563,281,0
"Holderness","town","Grafton County","New Hampshire",2097,2108,1930,1694,1586,1048,749,731,735,644,602,652,662,595,703,793,1765,1744,1528,1429,1160,835,531,329
"Landaff","town","Grafton County","New Hampshire",418,415,378,350,266,292,289,342,389,469,510,526,500,499,506,882,1012,948,957,951,769,650,461,292
"Lebanon","town","Grafton County","New Hampshire",13579,13151,12568,12183,11134,9725,9299,8495,7590,7073,6162,5718,4965,3763,3354,3094,2322,2136,1754,1868,1710,1808,1574,1180
"Lincoln","town","Grafton County","New Hampshire",1711,1662,1271,1229,1313,1341,1228,1415,1560,1548,1473,1278,541,110,65,71,71,57,76,50,32,100,41,22
"Lisbon","town","Grafton County","New Hampshire",1573,1595,1587,1664,1517,1480,1788,2009,2103,2324,2288,2460,2221,2060,1807,1844,1886,1881,1682,1485,0,0,0,0
"Littleton","town","Grafton County","New Hampshire",5912,5928,5845,5827,5558,5290,5003,4817,4571,4558,4239,4069,4066,3365,2936,2446,2292,2008,1778,1435,1096,873,381,96
"Livermore","town","Grafton County","New Hampshire",0,0,3,0,0,0,0,0,4,23,98,64,191,155,103,0,0,0,0,0,0,0,0,0
"Lyman","town","Grafton County","New Hampshire",532,533,487,388,281,213,201,241,363,299,310,374,426,543,654,658,743,1442,1496,1321,1270,948,534,202
"Lyme","town","Grafton County","New Hampshire",1680,1716,1679,1496,1289,1112,1026,924,965,830,891,1007,1080,1154,1313,1358,1572,1617,1785,1804,1824,1670,1318,816
"Monroe","town","Grafton County","New Hampshire",778,788,759,746,619,385,421,410,430,457,356,429,545,478,504,532,619,0,0,0,0,0,0,0
"Orange","town","Grafton County","New Hampshire",332,331,299,237,197,103,83,82,109,99,166,176,213,245,335,340,382,451,463,405,293,229,203,131
"Orford","town","Grafton County","New Hampshire",1245,1237,1091,1008,928,793,667,726,701,636,661,799,890,916,1050,1119,1255,1406,1707,1829,1568,1265,988,540
"Piermont","town","Grafton County","New Hampshire",780,790,709,624,507,462,477,511,535,475,577,592,637,709,752,792,949,948,1057,1042,1016,877,670,426
"Plymouth","town","Grafton County","New Hampshire",6695,6990,5892,5811,5094,4225,3210,3039,2533,2470,2353,2200,1972,1852,1719,1409,1407,1290,1282,1175,983,937,743,625
"Rumney","town","Grafton County","New Hampshire",1490,1480,1480,1446,1212,870,820,859,861,858,911,850,837,947,1056,1165,1103,1109,1110,993,864,765,624,411
"Sugar Hill","town","Grafton County","New Hampshire",566,563,563,464,397,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thornton","town","Grafton County","New Hampshire",2491,2490,1843,1505,952,594,480,460,501,459,477,553,552,632,775,840,967,1011,1045,1049,857,794,535,385
"Warren","town","Grafton County","New Hampshire",893,904,873,820,650,539,548,581,709,651,600,701,799,875,786,960,1152,872,938,702,544,506,336,206
"Waterville Valley","town","Grafton County","New Hampshire",246,247,257,151,180,109,14,11,26,23,95,16,50,39,54,33,48,42,63,96,0,0,0,0
"Wentworth","town","Grafton County","New Hampshire",919,911,798,630,527,376,300,413,491,459,507,595,617,698,939,971,1055,1197,1119,924,807,645,488,241
"Woodstock","town","Grafton County","New Hampshire",1374,1374,1139,1167,1008,897,827,894,981,756,684,1083,628,341,367,405,476,418,472,0,0,0,0,0
"Amherst","town","Hillsborough County","New Hampshire",11261,11201,10769,9068,8243,4605,2051,1461,1174,1115,868,1060,1231,1053,1225,1353,1598,1613,1565,1657,1622,1554,1470,2369
"Antrim","town","Hillsborough County","New Hampshire",2658,2637,2449,2360,2208,2122,1121,1030,1127,1254,1052,1235,1366,1248,817,904,1123,1143,1225,1309,1330,1277,1059,528
"Bedford","town","Hillsborough County","New Hampshire",22204,21203,18274,12563,9481,5859,3636,2176,1561,1326,1118,1110,1148,1102,1204,1221,1172,1914,1549,1554,1375,1296,1182,898
"Bennington","town","Hillsborough County","New Hampshire",1472,1476,1401,1236,890,639,591,593,655,552,568,690,667,542,443,401,450,541,0,0,0,0,0,0
"Brookline","town","Hillsborough County","New Hampshire",5212,4991,4181,2410,1766,1167,795,671,561,511,546,501,505,548,698,741,756,718,652,627,592,538,454,338
"Deering","town","Hillsborough County","New Hampshire",1922,1912,1875,1707,1041,578,345,392,367,324,287,353,486,531,674,722,793,890,1124,1227,1415,1363,1244,928
"Francestown","town","Hillsborough County","New Hampshire",1571,1562,1480,1217,830,525,495,405,342,363,385,602,693,837,937,932,1082,1114,1308,1540,1479,1451,1355,982
"Goffstown","town","Hillsborough County","New Hampshire",17945,17651,16929,14621,11315,9284,7230,5638,4247,3839,2391,2579,2528,1981,1690,1656,1740,2270,2366,2218,2173,2000,1612,1275
"Greenfield","town","Hillsborough County","New Hampshire",1844,1749,1657,1519,972,1058,538,430,407,394,417,574,605,607,649,527,692,716,834,946,974,980,934,0
"Greenville","town","Hillsborough County","New Hampshire",2082,2105,2224,2231,1988,1587,1385,1280,1236,1319,1346,1374,1608,1255,1072,0,0,0,0,0,0,0,0,0
"Hancock","town","Hillsborough County","New Hampshire",1638,1654,1739,1604,1193,909,722,612,631,561,531,642,642,637,689,692,844,1012,1345,1316,1178,1184,1120,634
"Hillsborough","town","Hillsborough County","New Hampshire",5981,6011,4928,4498,3437,2775,2310,2179,2269,2160,2229,2168,2254,2120,1646,1595,1623,1685,1808,1792,1982,1592,1311,798
"Hollis","town","Hillsborough County","New Hampshire",7793,7684,7015,5705,4679,2616,1720,1196,996,879,775,935,910,1000,1077,1079,1317,1293,1333,1501,1543,1529,1557,1441
