,"Fremont County","Idaho",12867,13242
,"Gem County","Idaho",16866,16719
,"Gooding County","Idaho",15064,15464
,"Idaho County","Idaho",16215,16267
,"Jefferson County","Idaho",27021,26140
,"Jerome County","Idaho",22818,22374
,"Kootenai County","Idaho",147326,138494
,"Latah County","Idaho",38411,37244
,"Lemhi County","Idaho",7726,7936
,"Lewis County","Idaho",3838,3821
,"Lincoln County","Idaho",5316,5208
,"Madison County","Idaho",38038,37536
,"Minidoka County","Idaho",20323,20069
,"Nez Perce County","Idaho",40007,39265
,"Oneida County","Idaho",4184,4286
,"Owyhee County","Idaho",11353,11526
,"Payette County","Idaho",22836,22623
,"Power County","Idaho",7617,7817
,"Shoshone County","Idaho",12390,12765
,"Teton County","Idaho",10341,10170
,"Twin Falls County","Idaho",80914,77230
,"Valley County","Idaho",9826,9862
,"Washington County","Idaho",10021,10198
,"Adams County","Illinois",66988,67103
,"Alexander County","Illinois",7492,8238
,"Bond County","Illinois",17269,17768
,"Boone County","Illinois",53869,54165
,"Brown County","Illinois",6832,6937
,"Bureau County","Illinois",33840,34978
,"Calhoun County","Illinois",4956,5089
,"Carroll County","Illinois",14715,15387
,"Cass County","Illinois",13156,13642
,"Champaign County","Illinois",207133,201081
,"Christian County","Illinois",33892,34800
,"Clark County","Illinois",16180,16335
,"Clay County","Illinois",13520,13815
,"Clinton County","Illinois",37857,37762
,"Coles County","Illinois",53320,53873
,"Cook County","Illinois",5246456,5194675
,"Crawford County","Illinois",19393,19817
,"Cumberland County","Illinois",10833,11048
,"DeKalb County","Illinois",105462,105160
,"De Witt County","Illinois",16284,16561
,"Douglas County","Illinois",19889,19980
,"DuPage County","Illinois",932708,916924
,"Edgar County","Illinois",17841,18576
,"Edwards County","Illinois",6617,6721
,"Effingham County","Illinois",34320,34242
,"Fayette County","Illinois",21870,22140
,"Ford County","Illinois",13688,14081
,"Franklin County","Illinois",39411,39561
,"Fulton County","Illinois",36007,37069
,"Gallatin County","Illinois",5291,5589
,"Greene County","Illinois",13434,13886
,"Grundy County","Illinois",50425,50063
,"Hamilton County","Illinois",8296,8457
,"Hancock County","Illinois",18564,19104
,"Hardin County","Illinois",4129,4320
,"Henderson County","Illinois",6916,7331
,"Henry County","Illinois",49635,50486
,"Iroquois County","Illinois",28879,29718
,"Jackson County","Illinois",59677,60218
,"Jasper County","Illinois",9623,9698
,"Jefferson County","Illinois",38534,38827
,"Jersey County","Illinois",22571,22985
,"Jo Daviess County","Illinois",22254,22678
,"Johnson County","Illinois",12601,12582
,"Kane County","Illinois",527306,515269
,"Kankakee County","Illinois",111375,113449
,"Kendall County","Illinois",121350,114736
,"Knox County","Illinois",52069,52919
,"Lake County","Illinois",705186,703462
,"LaSalle County","Illinois",111241,113924
,"Lawrence County","Illinois",16519,16833
,"Lee County","Illinois",34735,36031
,"Livingston County","Illinois",37903,38950
,"Logan County","Illinois",29746,30305
,"McDonough County","Illinois",31880,32612
,"McHenry County","Illinois",307283,308760
,"McLean County","Illinois",174061,169572
,"Macon County","Illinois",108350,110768
,"Macoupin County","Illinois",46453,47765
,"Madison County","Illinois",266560,269282
,"Marion County","Illinois",38571,39437
,"Marshall County","Illinois",12014,12640
,"Mason County","Illinois",13898,14666
,"Massac County","Illinois",14905,15429
,"Menard County","Illinois",12570,12705
,"Mercer County","Illinois",15945,16434
,"Monroe County","Illinois",33722,32957
,"Montgomery County","Illinois",29359,30104
,"Morgan County","Illinois",34929,35547
,"Moultrie County","Illinois",14837,14846
,"Ogle County","Illinois",52085,53497
,"Peoria County","Illinois",187319,186494
,"Perry County","Illinois",21672,22350
,"Piatt County","Illinois",16431,16729
,"Pike County","Illinois",16022,16430
,"Pope County","Illinois",4276,4470
,"Pulaski County","Illinois",5815,6161
,"Putnam County","Illinois",5814,6006
,"Randolph County","Illinois",32869,33476
,"Richland County","Illinois",16061,16233
,"Rock Island County","Illinois",146063,147546
,"St. Clair County","Illinois",265729,270056
,"Saline County","Illinois",24612,24913
,"Sangamon County","Illinois",198997,197465
,"Schuyler County","Illinois",7330,7544
,"Scott County","Illinois",5204,5355
,"Shelby County","Illinois",22048,22363
,"Stark County","Illinois",5813,5994
,"Stephenson County","Illinois",46435,47711
,"Tazewell County","Illinois",135707,135394
,"Union County","Illinois",17447,17808
,"Vermilion County","Illinois",79728,81625
,"Wabash County","Illinois",11549,11947
,"Warren County","Illinois",17874,17707
,"Washington County","Illinois",14337,14716
,"Wayne County","Illinois",16543,16760
,"White County","Illinois",14374,14665
,"Whiteside County","Illinois",56876,58498
,"Will County","Illinois",685419,677560
,"Williamson County","Illinois",67008,66357
,"Winnebago County","Illinois",288542,295266
,"Woodford County","Illinois",39187,38664
,"Adams County","Indiana",34791,34387
,"Allen County","Indiana",365918,355329
,"Bartholomew County","Indiana",80217,76794
,"Benton County","Indiana",8700,8854
,"Blackford County","Indiana",12401,12766
,"Boone County","Indiana",61915,56640
,"Brown County","Indiana",14962,15242
,"Carroll County","Indiana",19923,20155
,"Cass County","Indiana",38438,38966
,"Clark County","Indiana",114262,110232
,"Clay County","Indiana",26562,26890
,"Clinton County","Indiana",32776,33224
,"Crawford County","Indiana",10655,10713
,"Daviess County","Indiana",32729,31648
,"Dearborn County","Indiana",49506,50047
,"Decatur County","Indiana",26524,25740
,"DeKalb County","Indiana",42383,42223
,"Delaware County","Indiana",117074,117671
,"Dubois County","Indiana",42345,41889
,"Elkhart County","Indiana",201971,197559
,"Fayette County","Indiana",23468,24277
,"Floyd County","Indiana",76179,74578
,"Fountain County","Indiana",16658,17240
,"Franklin County","Indiana",22934,23087
,"Fulton County","Indiana",20500,20836
,"Gibson County","Indiana",33759,33503
,"Grant County","Indiana",68569,70061
,"Greene County","Indiana",32726,33165
,"Hamilton County","Indiana",302623,274569
,"Hancock County","Indiana",71978,70002
,"Harrison County","Indiana",39299,39364
,"Hendricks County","Indiana",156056,145448
,"Henry County","Indiana",48995,49462
,"Howard County","Indiana",82982,82752
,"Huntington County","Indiana",36706,37124
,"Jackson County","Indiana",43705,42376
