"Gassville","Baxter County",2121,2078,1706,1167,859,434,233,273,228,227,191,198,0,0,0,0,0,0
"Gateway","Benton County",423,405,116,65,75,83,63,97,57,0,0,0,0,0,0,0,0,0
"Gentry","Benton County",3367,3158,2165,1726,1468,1022,686,729,726,779,724,668,419,0,0,0,0,0
"Georgetown","White County",123,124,126,126,0,0,0,0,0,0,0,0,0,0,92,0,0,0
"Gilbert","Searcy County",27,28,33,43,43,45,52,51,106,116,0,0,0,0,0,0,0,0
"Gillett","Arkansas County",687,691,819,883,927,860,874,774,781,870,1155,256,0,0,0,0,0,0
"Gillham","Sevier County",163,160,188,210,252,200,177,207,238,242,317,291,0,0,0,0,0,0
"Gilmore","Crittenden County",256,188,292,331,503,461,438,0,0,0,0,0,0,0,0,0,0,0
"Glenwood","Pike County",2179,2228,1751,1354,1402,1212,840,843,854,1310,891,768,0,0,0,0,0,0
"Goshen","Washington County",1433,1071,752,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gosnell","Mississippi County",3352,3548,3968,3783,3215,1386,0,0,0,0,0,0,0,0,0,0,0,0
"Gould","Lincoln County",794,837,1305,1470,1671,1386,1210,1076,908,827,318,57,0,0,0,0,0,0
"Grady","Lincoln County",422,449,523,586,488,688,622,517,472,496,398,180,0,0,0,0,0,0
"Grannis","Polk County",564,554,575,507,349,177,185,193,225,0,0,0,0,0,0,0,0,0
"Gravette","Benton County",3221,2325,1810,1412,1218,1154,855,894,865,812,754,569,447,0,0,0,0,0
"Green Forest","Carroll County",2776,2761,2717,2050,1609,1354,1038,738,755,745,868,635,469,0,34,0,0,0
"Greenbrier","Faulkner County",5212,4706,3042,2130,1423,582,401,375,0,0,0,0,0,0,0,0,0,0
"Greenland","Washington County",1377,1259,907,757,622,650,127,164,114,127,147,108,0,0,0,0,0,0
"Greenway","Clay County",196,209,244,212,317,240,179,288,303,367,362,390,165,33,0,0,0,0
"Greenwood","Sebastian County",9263,8952,7112,3984,3317,2032,1558,1634,1219,591,1374,1124,491,587,204,0,0,0
"Greers Ferry","Cleburne County",878,891,930,724,558,389,0,0,0,0,0,0,0,0,0,0,0,0
"Griffithville","White County",224,225,262,237,254,227,172,207,244,238,219,202,0,0,0,0,0,0
"Grubbs","Jackson County",372,386,438,528,546,442,360,313,345,366,300,178,0,0,0,0,0,0
"Guion","Izard County",84,86,90,93,177,213,222,219,250,288,260,296,0,0,0,0,0,0
"Gum Springs","Clark County",117,120,194,157,255,269,0,0,0,0,0,0,0,0,0,0,0,0
"Gurdon","Clark County",2150,2212,2276,2199,2707,2075,2166,2390,2045,2172,1469,1284,1045,802,0,0,0,0
"Guy","Faulkner County",718,708,202,241,209,179,0,0,0,0,0,0,0,0,0,0,0,0
"Hackett","Sebastian County",816,812,694,490,505,462,328,440,436,316,398,363,330,458,172,0,0,0
"Hamburg","Ashley County",2810,2857,3039,3098,3394,3102,2904,2655,1939,1517,1538,1787,1260,655,747,0,0,0
"Hampton","Calhoun County",1276,1324,1579,1562,1627,1252,1011,838,686,669,271,353,0,406,150,138,166,0
"Hardy","Sharp County",760,772,578,538,643,692,555,599,721,508,399,329,347,0,0,0,0,0
"Harrell","Calhoun County",247,254,293,258,302,269,267,342,273,0,0,0,0,0,0,0,0,0
"Harrisburg","Poinsett County",2317,2288,2192,1943,1921,1931,1481,1498,1193,1111,1315,942,462,482,0,0,0,0
"Harrison","Boone County",13130,12943,12152,9922,9567,7239,6580,5542,4238,3626,3477,1602,1551,1438,582,0,0,0
"Hartford","Sebastian County",641,642,772,721,613,616,531,865,1189,1210,2067,1780,460,0,0,0,0,0
"Hartman","Johnson County",527,519,596,498,517,400,299,418,561,542,0,0,0,0,0,0,0,0
"Haskell","Saline County",4396,3990,2645,1342,1125,239,215,209,171,180,0,0,0,0,0,0,0,0
"Hatfield","Polk County",403,413,402,414,410,377,337,364,437,382,335,0,0,0,0,0,0,0
"Havana","Yell County",372,375,392,358,352,308,277,348,449,370,449,621,0,0,0,0,0,0
"Haynes","Lee County",140,150,214,268,359,0,0,0,0,0,0,0,0,255,0,0,0,0
"Hazen","Prairie County",1403,1468,1637,1668,1636,1605,1456,1270,819,787,783,687,429,458,0,0,0,0
"Heber Springs","Cleburne County",7174,7165,6432,5628,4589,2497,2265,2109,1656,1401,1675,1126,552,322,0,0,0,0
"Hector","Pope County",452,450,506,478,449,387,0,0,0,0,0,0,0,0,0,0,0,0
"Helena-West Helena","Phillips County",11320,12282,6323,7491,9598,10415,11500,11236,8546,8316,9112,8772,5550,5189,3652,2249,1551,614
"Hermitage","Bradley County",808,830,769,639,378,399,379,398,344,419,285,247,0,0,0,0,0,0
"Hickory Ridge","Cross County",261,272,384,436,478,410,364,345,0,0,0,0,0,0,0,0,0,0
"Higden","Cleburne County",118,120,101,92,45,46,40,115,181,142,220,336,0,0,0,0,0,0
"Higginson","White County",643,621,378,255,333,343,183,131,166,195,239,192,0,0,0,0,0,0
"Highfill","Benton County",628,583,379,84,92,80,92,0,0,0,0,0,0,0,0,0,0,0
"Highland","Sharp County",1050,1045,986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
